"","MonitoringLocationIdentifier","activityCount","resultCount"
"1","USGS-02085039",0,0
"2","USGS-020850391920",4,0
"3","USGS-020850391940",4,0
"4","USGS-020850391960",4,0
"5","USGS-0208503920",12,815
"6","USGS-0208503990",15,758
"7","USGS-02085064",3,0
"8","USGS-02085066",7,4
"9","USGS-02085067",188,960
"10","USGS-02085070",64,1415
"11","USGS-02085079",193,10630
"12","USGS-02086720",0,0
"13","USGS-0208675009",25,167
"14","USGS-0208675010",12,276
"15","USGS-02086760",0,0
"16","USGS-02086770",1,9
"17","USGS-02086790",0,0
"18","USGS-0208682450",4,283
"19","USGS-02086833",2,76
"20","USGS-02086834",0,0
"21","USGS-02086835",1,38
"22","USGS-02086837",2,76
"23","USGS-02086839",1,38
"24","USGS-02086841",1,38
"25","USGS-02086843",1,38
"26","USGS-02086845",1,38
"27","USGS-02086849",141,9417
"28","USGS-0208700550",0,0
"29","USGS-0208700712",4,209
"30","USGS-0208700780",121,5504
"31","USGS-0209722970",48,4171
"32","USGS-02097240",0,0
"33","USGS-02097243",0,0
"34","USGS-355849078474601",0,0
"35","USGS-355852078572045",0,0
"36","USGS-355856078492945",0,0
"37","USGS-355912078485300",3,195
"38","USGS-355930078570001",0,0
"39","USGS-355930078570002",0,0
"40","USGS-355938078490701",0,0
"41","USGS-355943078583701",0,0
"42","USGS-355945078584501",0,0
"43","USGS-360016078510701",0,0
"44","USGS-360030078481501",0,0
"45","USGS-360030078481502",0,0
"46","USGS-360030078493001",0,0
"47","USGS-360030078493002",0,0
"48","USGS-360032078572001",0,0
"49","USGS-360045078470801",0,0
"50","USGS-360141078515500",3,195
"51","USGS-360141078522001",0,0
"52","USGS-360143078540945",0,0
"53","USGS-360149078514801",2,52
"54","USGS-360158078514201",1,17
"55","USGS-360159078513801",1,41
"56","USGS-360159078514101",2,52
"57","USGS-360202078525401",0,0
"58","USGS-360204078513901",2,53
"59","USGS-360204078513902",1,22
"60","USGS-360204078513903",1,22
"61","USGS-360205078513801",1,15
"62","USGS-360207078512501",1,41
"63","USGS-360207078513801",1,15
"64","USGS-360211078513701",2,58
"65","USGS-360215078473001",0,0
"66","USGS-360215078473002",0,0
"67","USGS-360226078512801",1,20
"68","USGS-360230078483001",0,0
"69","USGS-360230078483002",0,0
"70","USGS-360230078570001",0,0
"71","USGS-360237078490001",0,0
"72","USGS-360257078543901",0,0
"73","USGS-360300078555601",0,0
"74","USGS-360309078590201",0,0
"75","USGS-360331078570601",0,0
"76","USGS-360332078511501",0,0
"77","USGS-360334078584145",0,0
"78","USGS-360337078543601",1,0
"79","USGS-360338078543601",1,2
"80","USGS-360339078590001",0,0
"81","USGS-360343078543101",1,0
"82","USGS-360343078590001",0,0
"83","USGS-360346078543501",9,22
"84","USGS-360347078543701",0,0
"85","USGS-360347078543801",0,0
"86","USGS-360419078543145",0,0
"87","USGS-360425078492101",0,0
"88","USGS-360429078570701",2,0
"89","USGS-360430078483001",0,0
"90","USGS-360430078550001",0,0
"91","USGS-360432078570201",0,0
"92","USGS-360434078571901",1,26
"93","21NC01WQ-J0530000",5,20
"94","21NC01WQ-J0570000",3,11
"95","21NC01WQ-J0610000",5,18
"96","21NC01WQ-J0650000",3,19
"97","21NC01WQ-J0770000",576,5685
"98","21NC01WQ-J0810000",605,5720
"99","21NC01WQ-J1269000",784,3679
"100","21NC01WQ-J1270000",179,1731
"101","21NC01WQ-J1280000",793,3745
"102","21NC01WQ-J1290000",38,160
"103","21NC01WQ-J1330000",741,7215
"104","21NC01WQ-J1490000",28,110
"105","21NC01WQ-J1530000",488,4592
"106","21NC02WQ-J0530000",0,0
"107","21NC02WQ-J0570000",0,0
"108","21NC02WQ-J0610000",0,0
"109","21NC02WQ-J0650000",0,0
"110","21NC02WQ-J0770000",1137,3392
"111","21NC02WQ-J0810000",961,2930
"112","21NC02WQ-J1269000",0,0
"113","21NC02WQ-J1270000",0,0
"114","21NC02WQ-J1280000",0,0
"115","21NC02WQ-J1290000",0,0
"116","21NC02WQ-J1330000",1162,3485
"117","21NC02WQ-J1490000",0,0
"118","21NC02WQ-J1530000",0,0
"119","21NC03WQ-J0770000",1506,1506
"120","21NC03WQ-J0810000",1543,1543
"121","21NC03WQ-J1330000",1549,1549
"122","21NC03WQ-JB16",43,43
"123","21NC03WQ-JB165",150,150
"124","21NC03WQ-JB166",73,73
"125","21NC03WQ-JB17",41,41
"126","21NC03WQ-JB181",200,200
"127","21NC03WQ-JB182",88,88
"128","21NC03WQ-JB3",464,464
"129","21NC03WQ-JB32",27,27
"130","21NC03WQ-JB7",773,773
"131","21NC03WQ-JF102",25,25
"132","21NC03WQ-JF2",17,17
"133","21NC03WQ-JF22",20,20
"134","21NC03WQ-JF4",23,23
"135","21NC03WQ-JF5",24,24
"136","21NC03WQ-JF74",13,13
"137","21NC03WQ-NEU006",0,0
"138","21NC03WQ-NEU011",0,0
"139","21NC03WQ-NEU012",0,0
"140","21NC03WQ-NEUELL10",933,933
"141","21NC03WQ-NEUELL7",0,0
"142","21NC03WQ-NEUELL9",0,0
